CityName,CityID
yongchang,1446169
chunhua,1446143
kangma,120372
lanping,2174
dangtu,1445969
shangli,2403
sunan,1446174
qushui,1446405
wenxi,2105
linxiashi,1446157
pubei,3069
wengniuteqi,1446358
sunwu,2226
dayao,1446269
dangshan,1445967
baoqing,1445994
zhidan,2777
hengnan,1446204
wangmo,120456
cuomei,120410
fanzhi,2995
gaize,120145
nayong,2366
hanshan,2595
jingyan,3127
longzi,120407
huanjiang,3058
zhenghe,2679
yuanshi,2561
tuoketuo,1446363
tongxu,2285
wubu,2728
yongde,2186
yaoan,2173
fuyu,1446006
qusong,120412
midu,1446276
siziwangqi,1446327
yima,2286
ceheng,120457
jinggu,1446292
xingjing,1446235
gujiao,3010
tangyin,2277
yian,2242
hezheng,1446187
longde,2326
changtu,2134
dengkou,1446337
shanyin,2987
changshaxian,1446209
zhalaiteqi,2970
lincheng,2555
qinggang,2239
fanxian,2272
kedong,2241
jiaokou,3036
shache,2499
huaibin,2302
yilong,1446239
ganquan,2775
nangqian,2642
maguan,2205
mashan,1446255
nenjiang,1445984
gangba,120380
douchang,2407
jingyu,1446013
guzhen,2592
pinglu,1446127
jingchuan,2795
aohanqi,1446343
alukeerqinqi,1446333
heyang,1446142
shuangfeng,1446206
yongshan,1446278
tiandong,1446248
guantao,2589
kuancheng,2542
xiajiang,143848
elunchunqi,1446356
qinyang,1446076
wangcang,1446225
gongliu,1446369
luhe,2912
minxian,1446170
jishan,2990
zhouqu,1446163
fengqiu,2279
funan,1445973
bange,120384
manasi,1446366
zhuanglang,1446175
keshan,2244
huanan,2221
zanhuang,2572
gongxian,3159
zaoqiang,1446052
napo,973
dongwuqi,1446344
shouyang,2991
tailai,1445983
wugong,1446134
chongren,2388
xuanen,1446200
weixian,1446049
wuzhai,3021
longlin,1446261
wuqiang,2516
wulan,1446307
anren,1446210
quannan,2393
hequ,1446123
angren,120375
guidong,2819
xinbaerhuzuoqi,1446338
jiangling,1446197
shuangpai,1446205
yushushi,1446308
xiping,1446087
zhuxi,1446198
jiangxian,1446112
xingxian,1446131
hengfeng,2382
banma,1446318
haixing,1446070
xihe,1446186
kangle,1446162
lengshuijiang,2835
